ROBO_ID;OCCURRENCE;CODE;;;;;;;;;;;;;;
359;25.01.2022;E1107;;;;;;;;;;;;;;
1;1.02.2022;E5055;;;;;;;;;;;;;;
1;1.02.2022;E1043;;;;;;;;;;;;;;
294;8.05.2022;E5055;;;;;;;;;;;;;;
294;8.05.2022;E5055;;;;;;;;;;;;;;
294;9.05.2022;E1028;;;;;;;;;;;;;;
294;9.05.2022;E1028;;;;;;;;;;;;;;
308;8.05.2022;E1107;;;;;;;;;;;;;;
311;9.05.2022;E0038;;;;;;;;;;;;;;
314;9.05.2022;E0898;;;;;;;;;;;;;;
314;8.05.2022;E0021;;;;;;;;;;;;;;
314;8.05.2022;E0021;;;;;;;;;;;;;;
315;9.05.2022;E0898;;;;;;;;;;;;;;
135;10.05.2022;E1043;;;;;;;;;;;;;;
157;11.05.2022;E1028;;;;;;;;;;;;;;
157;11.05.2022;E1043;;;;;;;;;;;;;;
189;9.05.2022;E5055;;;;;;;;;;;;;;
172;1.02.2022;E5055;;;;;;;;;;;;;;
172;1.02.2022;E5055;;;;;;;;;;;;;;
172;1.02.2022;E1043;;;;;;;;;;;;;;
177;3.02.2022;E1043;;;;;;;;;;;;;;
293;4.02.2022;E1028;;;;;;;;;;;;;;
308;5.02.2022;E3994;;;;;;;;;;;;;;
314;5.02.2022;E0898;;;;;;;;;;;;;;
43;13.05.2022;E0122;;;;;;;;;;;;;;
45;12.05.2022;E0898;;;;;;;;;;;;;;
45;12.05.2022;E0027;;;;;;;;;;;;;;
163;4.02.2022;E5055;;;;;;;;;;;;;;
163;4.02.2022;E1043;;;;;;;;;;;;;;
163;4.02.2022;E1043;;;;;;;;;;;;;;
163;4.02.2022;E5055;;;;;;;;;;;;;;
177;5.02.2022;E5055;;;;;;;;;;;;;;
310;15.05.2022;E1107;;;;;;;;;;;;;;
310;15.05.2022;E1107;;;;;;;;;;;;;;
311;16.05.2022;E0027;;;;;;;;;;;;;;
312;16.05.2022;E0121;;;;;;;;;;;;;;
312;16.05.2022;E0121;;;;;;;;;;;;;;
312;16.05.2022;E0121;;;;;;;;;;;;;;
312;15.05.2022;E0121;;;;;;;;;;;;;;
312;15.05.2022;E1107;;;;;;;;;;;;;;
312;15.05.2022;E1100;;;;;;;;;;;;;;
